test_id,workspace,persona,preconditions,route,control_id,action,expected,evidence_required,side_effect_class,cleanup,automation_layer,status,defect_ref,approval_ref
CTRL.CENSUS.0011,SF_PROD,owner_jose,Authenticated workspace; seeded state matching the control,/api/onboarding,src/app/api/onboarding/route.ts:70:data-mutation:1,Exercise data-mutation and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+screenshot+network,0,none,e2e,NOT RUN,,
CTRL.CENSUS.0012,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,/api/onboarding,src/app/api/onboarding/route.ts:94:data-mutation:1,Exercise data-mutation and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,1,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0013,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,/api/onboarding,src/app/api/onboarding/route.ts:95:data-mutation:1,Exercise data-mutation and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,1,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0014,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,/api/onboarding,src/app/api/onboarding/route.ts:100:data-mutation:1,Exercise data-mutation and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,1,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0015,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,/api/onboarding,src/app/api/onboarding/route.ts:103:data-mutation:1,Exercise data-mutation and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,1,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0016,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,/api/quests/[id],src/app/api/quests/[id]/route.ts:67:data-mutation:1,Exercise data-mutation and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,1,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0017,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,/api/quests/[id],src/app/api/quests/[id]/route.ts:100:data-mutation:1,Exercise data-mutation and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,1,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0018,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,/api/rank-tracker/keywords,src/app/api/rank-tracker/keywords/route.ts:52:data-mutation:1,Exercise data-mutation and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,1,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0019,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,/api/rank-tracker/keywords,src/app/api/rank-tracker/keywords/route.ts:59:data-mutation:1,Exercise data-mutation and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,1,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0020,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,/api/rank-tracker/keywords,src/app/api/rank-tracker/keywords/route.ts:89:data-mutation:1,Exercise data-mutation and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,1,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0021,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,/api/rank-tracker/lists,src/app/api/rank-tracker/lists/route.ts:16:data-mutation:1,Exercise data-mutation and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,1,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0022,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,/api/website-profile,src/app/api/website-profile/route.ts:25:data-mutation:1,Exercise data-mutation and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,1,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0023,SF_PROD,owner_jose,Authenticated workspace; seeded state matching the control,/api/websites/[id],src/app/api/websites/[id]/route.ts:38:data-mutation:1,Exercise data-mutation and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+screenshot+network,0,none,e2e,NOT RUN,,
CTRL.CENSUS.0024,SF_PROD,owner_jose,Authenticated workspace; seeded state matching the control,/api/websites/[id],src/app/api/websites/[id]/route.ts:62:data-mutation:1,Exercise data-mutation and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+screenshot+network,0,none,e2e,NOT RUN,,
CTRL.CENSUS.0025,SF_PROD,owner_jose,Authenticated workspace; seeded state matching the control,/audits/[id],src/app/audits/[id]/page.tsx:108:a:1,Exercise a and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+screenshot+network,0,none,e2e,NOT RUN,,
CTRL.CENSUS.0026,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,/audits/[id],src/app/audits/[id]/page.tsx:116:Link:1,Exercise Link and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,2,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0027,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,/audits/[id],src/app/audits/[id]/page.tsx:116:Link:2,Exercise Link and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,2,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0028,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,/audits/[id],src/app/audits/[id]/page.tsx:120:Link:1,Exercise Link and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,1,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0029,SF_PROD,owner_jose,Authenticated workspace; seeded state matching the control,/audits/[id],src/app/audits/[id]/page.tsx:125:summary:1,Exercise summary and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+screenshot+network,0,none,e2e,NOT RUN,,
CTRL.CENSUS.0030,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,/audits/[id],src/app/audits/[id]/page.tsx:136:Link:1,Exercise Link and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,1,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0031,SF_PROD,owner_jose,Authenticated workspace; seeded state matching the control,/audits/[id],src/app/audits/[id]/page.tsx:141:summary:1,Exercise summary and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+screenshot+network,0,none,e2e,NOT RUN,,
CTRL.CENSUS.0032,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,/audits/[id],src/app/audits/[id]/page.tsx:166:Link:1,Exercise Link and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,1,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0033,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,/audits/[id],src/app/audits/[id]/page.tsx:166:Link:2,Exercise Link and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,1,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0034,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,/audits,src/app/audits/page.tsx:27:Link:1,Exercise Link and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,1,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0035,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,/audits,src/app/audits/page.tsx:97:Link:1,Exercise Link and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,1,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0036,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,/audits,src/app/audits/page.tsx:97:Link:2,Exercise Link and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,1,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0037,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,/audits,src/app/audits/page.tsx:103:a:1,Exercise a and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,1,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0038,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,/audits,src/app/audits/page.tsx:108:a:1,Exercise a and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,2,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0039,SF_PROD,owner_jose,Authenticated workspace; seeded state matching the control,/auth/error,src/app/auth/error/page.tsx:9:a:1,Exercise a and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+screenshot+network,0,none,e2e,NOT RUN,,
CTRL.CENSUS.0040,SF_PROD,owner_jose,Authenticated workspace; seeded state matching the control,/content,src/app/content/page.tsx:87:data-mutation:1,Exercise data-mutation and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+screenshot+network,0,none,e2e,NOT RUN,,
CTRL.CENSUS.0041,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,/content,src/app/content/page.tsx:100:Link:1,Exercise Link and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,2,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0042,SF_PROD,owner_jose,Authenticated workspace; seeded state matching the control,/content,src/app/content/page.tsx:131:button:1,Exercise button and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+screenshot+network,0,none,e2e,NOT RUN,,
CTRL.CENSUS.0043,SF_PROD,owner_jose,Authenticated workspace; seeded state matching the control,/distribution,src/app/distribution/page.tsx:43:a:1,Exercise a and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+screenshot+network,0,none,e2e,NOT RUN,,
CTRL.CENSUS.0044,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,/distribution,src/app/distribution/page.tsx:50:a:1,Exercise a and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,1,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0045,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,/distribution,src/app/distribution/page.tsx:50:a:2,Exercise a and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,1,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0046,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,/distribution,src/app/distribution/page.tsx:50:a:3,Exercise a and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,1,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0047,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,/distribution,src/app/distribution/page.tsx:50:Link:4,Exercise Link and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,1,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0048,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,/distribution,src/app/distribution/page.tsx:63:a:1,Exercise a and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,1,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0049,SF_PROD,owner_jose,Authenticated workspace; seeded state matching the control,/distribution,src/app/distribution/page.tsx:65:a:1,Exercise a and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+screenshot+network,0,none,e2e,NOT RUN,,
CTRL.CENSUS.0050,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,/distribution,src/app/distribution/page.tsx:67:Link:1,Exercise Link and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,1,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0051,SF_PROD,owner_jose,Authenticated workspace; seeded state matching the control,/distribution,src/app/distribution/page.tsx:77:summary:1,Exercise summary and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+screenshot+network,0,none,e2e,NOT RUN,,
CTRL.CENSUS.0052,SF_PROD,owner_jose,Authenticated workspace; seeded state matching the control,/distribution,src/app/distribution/page.tsx:81:Link:1,Exercise Link and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+screenshot+network,0,none,e2e,NOT RUN,,
CTRL.CENSUS.0053,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,/keyword-research,src/app/keyword-research/page.tsx:19:Link:1,Exercise Link and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,1,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0054,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,/keywords,src/app/keywords/page.tsx:221:a:1,Exercise a and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,1,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0055,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,/keywords,src/app/keywords/page.tsx:222:summary:1,Exercise summary and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,1,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0056,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,/llm-visibility,src/app/llm-visibility/page.tsx:54:a:1,Exercise a and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,1,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0057,SF_PROD,owner_jose,Authenticated workspace; seeded state matching the control,/login,src/app/login/page.tsx:13:Link:1,Exercise Link and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+screenshot+network,0,none,e2e,NOT RUN,,
CTRL.CENSUS.0058,SF_PROD,owner_jose,Authenticated workspace; seeded state matching the control,/login,src/app/login/page.tsx:19:a:1,Exercise a and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+screenshot+network,0,none,e2e,NOT RUN,,
CTRL.CENSUS.0059,SF_PROD,owner_jose,Authenticated workspace; seeded state matching the control,/login,src/app/login/page.tsx:26:form:1,Exercise form and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+screenshot+network,0,none,e2e,NOT RUN,,
CTRL.CENSUS.0060,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,/login,src/app/login/page.tsx:27:input:1,Exercise input and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,2,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0061,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,/login,src/app/login/page.tsx:28:input:1,Exercise input and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,1,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0062,SF_PROD,owner_jose,Authenticated workspace; seeded state matching the control,/login,src/app/login/page.tsx:30:button:1,Exercise button and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+screenshot+network,0,none,e2e,NOT RUN,,
CTRL.CENSUS.0063,SF_PROD,owner_jose,Authenticated workspace; seeded state matching the control,/,src/app/page.tsx:15:a:1,Exercise a and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+screenshot+network,0,none,e2e,NOT RUN,,
CTRL.CENSUS.0064,SF_PROD,owner_jose,Authenticated workspace; seeded state matching the control,/,src/app/page.tsx:19:a:1,Exercise a and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+screenshot+network,0,none,e2e,NOT RUN,,
CTRL.CENSUS.0065,SF_PROD,owner_jose,Authenticated workspace; seeded state matching the control,/,src/app/page.tsx:20:a:1,Exercise a and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+screenshot+network,0,none,e2e,NOT RUN,,
CTRL.CENSUS.0066,SF_PROD,owner_jose,Authenticated workspace; seeded state matching the control,/,src/app/page.tsx:21:a:1,Exercise a and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+screenshot+network,0,none,e2e,NOT RUN,,
CTRL.CENSUS.0067,SF_PROD,owner_jose,Authenticated workspace; seeded state matching the control,/,src/app/page.tsx:22:a:1,Exercise a and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+screenshot+network,0,none,e2e,NOT RUN,,
CTRL.CENSUS.0068,SF_PROD,owner_jose,Authenticated workspace; seeded state matching the control,/,src/app/page.tsx:23:a:1,Exercise a and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+screenshot+network,0,none,e2e,NOT RUN,,
CTRL.CENSUS.0069,SF_PROD,owner_jose,Authenticated workspace; seeded state matching the control,/,src/app/page.tsx:26:a:1,Exercise a and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+screenshot+network,0,none,e2e,NOT RUN,,
CTRL.CENSUS.0070,SF_PROD,owner_jose,Authenticated workspace; seeded state matching the control,/,src/app/page.tsx:27:a:1,Exercise a and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+screenshot+network,0,none,e2e,NOT RUN,,
CTRL.CENSUS.0071,SF_PROD,owner_jose,Authenticated workspace; seeded state matching the control,/,src/app/page.tsx:45:a:1,Exercise a and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+screenshot+network,0,none,e2e,NOT RUN,,
CTRL.CENSUS.0072,SF_PROD,owner_jose,Authenticated workspace; seeded state matching the control,/,src/app/page.tsx:46:a:1,Exercise a and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+screenshot+network,0,none,e2e,NOT RUN,,
CTRL.CENSUS.0073,SF_PROD,owner_jose,Authenticated workspace; seeded state matching the control,/,src/app/page.tsx:428:a:1,Exercise a and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+screenshot+network,0,none,e2e,NOT RUN,,
CTRL.CENSUS.0074,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,/reoptimization/[id],src/app/reoptimization/[id]/page.tsx:17:Link:1,Exercise Link and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,2,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0075,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,/reoptimization/[id],src/app/reoptimization/[id]/page.tsx:27:Link:1,Exercise Link and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,3,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0076,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,/reoptimization/[id],src/app/reoptimization/[id]/page.tsx:27:a:2,Exercise a and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,3,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0077,SF_PROD,owner_jose,Authenticated workspace; seeded state matching the control,/reoptimization/[id],src/app/reoptimization/[id]/page.tsx:29:a:1,Exercise a and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+screenshot+network,0,none,e2e,NOT RUN,,
CTRL.CENSUS.0078,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,/reviews,src/app/reviews/page.tsx:26:Link:1,Exercise Link and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,1,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0079,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,/this-week,src/app/this-week/page.tsx:52:summary:1,Exercise summary and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,1,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0080,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,component,src/components/account-settings.tsx:115:input:1,Exercise input and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,1,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0081,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,component,src/components/account-settings.tsx:115:onChange:2,Exercise onChange and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,1,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0082,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,component,src/components/account-settings.tsx:115:button:3,Exercise button and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,1,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0083,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,component,src/components/account-settings.tsx:115:onClick:4,Exercise onClick and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,1,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0084,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,component,src/components/account-settings.tsx:127:button:1,Exercise button and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,3,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0085,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,component,src/components/account-settings.tsx:127:onClick:2,Exercise onClick and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,3,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0086,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,component,src/components/account-settings.tsx:133:input:1,Exercise input and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,1,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0087,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,component,src/components/account-settings.tsx:133:onChange:2,Exercise onChange and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,1,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0088,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,component,src/components/account-settings.tsx:135:button:1,Exercise button and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,3,Restore disposable fixture,integration+e2e,NOT RUN,,
